Timestamp(us),Time,CPU_Core,PID,TID,Command,FD,Raw_Cmd_Hex,IOCTL_Dir,IOCTL_Type(Char),IOCTL_Nr,Data_Size_Bytes
7644041653,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644041861,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644042584,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644042797,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644043355,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644043572,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644043732,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644043906,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644044078,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644044307,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644044972,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644045454,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644045689,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644045798,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644046096,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644046247,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644046533,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644046682,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644047039,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644050981,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644054145,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644054578,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644055693,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644056037,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644056571,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644057486,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644057713,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644057986,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644058165,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644058787,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644058927,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644059483,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644059621,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644059894,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644060162,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644060343,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644060992,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644061184,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644061317,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644061465,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644061612,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644062140,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644062384,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644062693,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644062945,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644063081,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644063346,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644063543,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644063681,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644063794,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644063921,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644064125,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644064290,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644064456,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644068475,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644068743,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644069097,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644070890,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644071439,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644081120,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644081294,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644081482,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644081631,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644081875,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644082136,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644082326,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644082485,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644083128,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644083392,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644083619,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644083736,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644084300,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644085091,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644085205,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644085488,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644085633,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644085772,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644086513,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644086669,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644086874,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644087505,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644088701,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644088819,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644089200,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644094589,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644095332,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644095480,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644095668,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644096032,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644096319,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644096505,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644097173,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644097573,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644097741,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644097918,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644098128,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644099686,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644108283,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644108550,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644108714,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644109223,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
