Time,Latency_Delta_ms,Direction,Src_IP,Dest_IP,Payload_MB
16:02:07,42.08,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.93,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,27.45,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.26,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.29,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.26,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.88,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.26,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.56,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,8.73,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,4.39,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.2,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.22,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.49,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,46.79,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,13.15,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.64,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.02,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,16.82,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.04,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.81,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,8.05,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.73,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.68,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,15.64,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,62.11,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.43,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.99,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.68,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.85,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,7.95,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.96,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.66,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.93,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,11.74,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.12,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,5.78,IN_RECV,192.168.52.99,192.168.52.110,0.25
