Timestamp(us),Time,Direction,PID,TID,Command,Src_IP,Dest_IP,Port,Payload_Size_Bytes
7889439934,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889440161,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889440337,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889440484,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889440828,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889440972,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889441429,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889441689,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889441839,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889441928,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889441968,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889442157,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889442246,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889442406,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889442596,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889442681,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889443068,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889443314,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889443533,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889443869,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889444218,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889444444,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889444531,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889444629,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889444713,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889444901,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889445124,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889445462,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889445622,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889445822,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889445908,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889446085,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889446324,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889446408,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889446567,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889446777,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889446923,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889447073,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889447218,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889447269,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889447517,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889447760,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889448357,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889448577,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889448636,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889449444,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889449618,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889449711,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889449860,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889449914,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889450120,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889450258,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889450379,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889450514,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889450565,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889450704,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889451121,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889451398,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889451554,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889451593,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889451683,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889451772,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889451859,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889451945,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889451985,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889452128,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889452214,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889452297,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889452382,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889452418,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889452503,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889452584,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
